sequence_id,step,temperature,humidity,flame_signal,label,scenario,source
10000,0,21.3,43.5,0,0,carton_1,sensor_log
10000,1,21.3,43.5,0,0,carton_1,sensor_log
10000,2,21.4,43.6,0,0,carton_1,sensor_log
10000,3,21.4,43.6,0,0,carton_1,sensor_log
10000,4,21.4,43.7,0,0,carton_1,sensor_log
10000,5,21.4,43.7,0,0,carton_1,sensor_log
10000,6,21.4,43.7,0,0,carton_1,sensor_log
10000,7,21.4,43.7,0,0,carton_1,sensor_log
10000,8,21.4,43.6,0,0,carton_1,sensor_log
10000,9,21.4,43.6,0,0,carton_1,sensor_log
10000,10,21.4,43.7,0,0,carton_1,sensor_log
10000,11,21.4,43.7,0,0,carton_1,sensor_log
10000,12,21.4,43.7,0,0,carton_1,sensor_log
10000,13,21.4,43.7,0,0,carton_1,sensor_log
10000,14,21.4,43.7,0,0,carton_1,sensor_log
10000,15,21.4,43.7,0,0,carton_1,sensor_log
10000,16,21.4,43.7,0,0,carton_1,sensor_log
10000,17,21.4,43.7,0,0,carton_1,sensor_log
10000,18,21.4,43.6,0,0,carton_1,sensor_log
10000,19,21.4,43.6,0,0,carton_1,sensor_log
10000,20,21.4,43.6,0,0,carton_1,sensor_log
10000,21,21.4,43.6,0,0,carton_1,sensor_log
10000,22,21.4,43.6,0,0,carton_1,sensor_log
10000,23,21.4,43.6,0,0,carton_1,sensor_log
10000,24,21.4,43.6,0,0,carton_1,sensor_log
10000,25,21.4,43.6,0,0,carton_1,sensor_log
10000,26,21.4,43.6,0,0,carton_1,sensor_log
10000,27,21.4,43.6,0,0,carton_1,sensor_log
10000,28,21.4,43.6,0,0,carton_1,sensor_log
10000,29,21.4,43.6,0,0,carton_1,sensor_log
10000,30,21.4,43.6,0,0,carton_1,sensor_log
10000,31,21.5,43.6,0,0,carton_1,sensor_log
10000,32,21.5,43.6,0,0,carton_1,sensor_log
10000,33,21.4,43.6,0,0,carton_1,sensor_log
10000,34,21.4,43.6,0,0,carton_1,sensor_log
10000,35,21.4,43.6,0,0,carton_1,sensor_log
10000,36,21.4,43.6,0,0,carton_1,sensor_log
10000,37,21.4,43.6,0,0,carton_1,sensor_log
10000,38,21.4,43.6,0,0,carton_1,sensor_log
10000,39,21.5,43.7,0,0,carton_1,sensor_log
10000,40,21.5,43.7,0,0,carton_1,sensor_log
10000,41,21.5,43.7,0,0,carton_1,sensor_log
10000,42,21.5,43.7,0,0,carton_1,sensor_log
10000,43,21.5,43.7,0,0,carton_1,sensor_log
10000,44,21.5,43.7,0,0,carton_1,sensor_log
10000,45,21.5,43.7,0,0,carton_1,sensor_log
10000,46,21.5,43.7,0,0,carton_1,sensor_log
10000,47,21.5,43.7,0,0,carton_1,sensor_log
10000,48,21.5,43.7,0,0,carton_1,sensor_log
10000,49,21.5,43.7,0,0,carton_1,sensor_log
10000,50,21.5,43.7,0,0,carton_1,sensor_log
10000,51,21.5,43.7,0,1,carton_1,sensor_log
10000,52,21.5,43.7,0,1,carton_1,sensor_log
10000,53,21.5,43.7,0,1,carton_1,sensor_log
10000,54,21.5,43.7,0,1,carton_1,sensor_log
10000,55,21.5,43.6,0,1,carton_1,sensor_log
10000,56,21.5,43.6,0,1,carton_1,sensor_log
10000,57,21.5,43.6,0,1,carton_1,sensor_log
10000,58,21.5,43.6,0,1,carton_1,sensor_log
10000,59,21.5,43.6,0,1,carton_1,sensor_log
10000,60,21.5,43.6,0,1,carton_1,sensor_log
10000,61,21.5,43.6,0,1,carton_1,sensor_log
10000,62,21.5,43.6,0,1,carton_1,sensor_log
10000,63,21.5,43.6,0,1,carton_1,sensor_log
10000,64,21.5,43.6,0,1,carton_1,sensor_log
